       U+00A0  NO-BREAK SPACE (\ ) (space after backslash)
    ¬  U+00AC  NOT SIGN (\neg)
    ²  U+00B2  SUPERSCRIPT TWO (\^2)
    ³  U+00B3  SUPERSCRIPT THREE (\^3)
    ·  U+00B7  MIDDLE DOT (\cdot)
    ¹  U+00B9  SUPERSCRIPT ONE (\^1)
    ×  U+00D7  MULTIPLICATION SIGN (\x)
    ƛ  U+019B  LATIN SMALL LETTER LAMBDA WITH STROKE (\Gl-)
    ʳ  U+02B3  MODIFIER LETTER SMALL R (\^r)
    ˡ  U+02E1  MODIFIER LETTER SMALL L (\^l)
    Γ  U+0393  GREEK CAPITAL LETTER GAMMA (\GG or \Gamma)
    Δ  U+0394  GREEK CAPITAL LETTER DELTA (\GD or \Delta)
    Ξ  U+039E  GREEK CAPITAL LETTER XI (\GX or \Xi)
    Π  U+03A0  GREEK CAPITAL LETTER PI (\Pi)
    Σ  U+03A3  GREEK CAPITAL LETTER SIGMA (\Sigma)
    α  U+03B1  GREEK SMALL LETTER ALPHA (\Ga or \alpha)
    β  U+03B2  GREEK SMALL LETTER BETA (\Gb or \beta)
    γ  U+03B3  GREEK SMALL LETTER GAMMA (\Gg or \gamma)
    δ  U+03B4  GREEK SMALL LETTER DELTA (\Gd or \delta)
    ε  U+03B5  GREEK SMALL LETTER EPSILON (\Ge or \epsilon)
    ζ  U+03B6  GREEK SMALL LETTER ZETA (\Gz or \zeta)
    η  U+03B7  GREEK SMALL LETTER ETA (\eta)
    λ  U+03BB  GREEK SMALL LETTER LAMDA (\lambda, \Gl)
    μ  U+03BC  GREEK SMALL LETTER MU (\Gm or \mu)
    ξ  U+03BE  GREEK SMALL LETTER XI (\Gx or \xi)
    π  U+03C0  GREEK SMALL LETTER PI (\pi)
    ρ  U+03C1  GREEK SMALL LETTER RHO (\Gr or \rho)
    σ  U+03C3  GREEK SMALL LETTER SIGMA (\Gs or \sigma)
    ω  U+03C9  GREEK SMALL LETTER OMEGA (\Go or \omega)
    ᵀ  U+1D40  MODIFIER LETTER CAPITAL T (\^T)
    ᵇ  U+1D47  MODIFIER LETTER SMALL B  (\^b)
    ᵐ  U+1D50  MODIFIER LETTER SMALL M (\^m)
    ᵢ  U+1D62  LATIN SUBSCRIPT SMALL LETTER I (\_i)
    ᶜ  U+1D9C  MODIFIER LETTER SMALL C (\^c)
    –  U+2013  EN DASH (\en)
    —  U+2014  EM DASH (\em)
    †  U+2020  DAGGER (\dag)
    ‡  U+2021  DOUBLE DAGGER (\ddag)
    ′  U+2032  PRIME (\')
    ″  U+2033  DOUBLE PRIME (\')
    ‴  U+2034  TRIPLE PRIME (\')
    ⁗  U+2057  QUADRUPLE PRIME (\')
    ⁺  U+207A  SUPERSCRIPT PLUS SIGN (̂\^+)
    ⁻  U+207B  SUPERSCRIPT MINUS (̂\^-)
    ⁿ  U+207F  SUPERSCRIPT LATIN SMALL LETTER N (\^n)
    ₀  U+2080  SUBSCRIPT ZERO (\_0)
    ₁  U+2081  SUBSCRIPT ONE (\_1)
